report_index,source_id,incident_type,incident_id,scenario_type,channel,language,district,actual_location,actual_urgency,timestamp
66,sms_0042,flood,FLOOD_012,adjacent_critical,sms,tamil,Kandy,Kandy_City,CRITICAL,2025-05-17T06:37:00+00:00
67,call_0160,flood,FLOOD_057,third_party,voice,sinhala,Kalutara,Horana,HIGH,2025-05-17T06:37:00+00:00
68,call_0170,flood,FLOOD_060,cross_lingual_duplicate,voice,romanized_tamil,Gampaha,Gampaha_Town,CRITICAL,2025-05-17T06:37:00+00:00
69,call_0034,flood,FLOOD_006,mass_report,voice,tamil,Kalutara,Panadura,CRITICAL,2025-05-17T06:38:00+00:00
70,sms_0135,flood,FLOOD_057,third_party,sms,sinhala,Kalutara,Horana,HIGH,
71,call_0183,flood,FLOOD_065,cross_lingual_duplicate,voice,tamil,Gampaha,Wattala,MEDIUM,2025-05-17T06:38:00+00:00
72,sms_0152,flood,FLOOD_065,cross_lingual_duplicate,sms,romanized_tamil,Gampaha,Wattala,MEDIUM,2025-05-17T06:38:00+00:00
73,call_0196,flood,FLOOD_072,location_unknown,voice,romanized_sinhala,Colombo,Hanwella,CRITICAL,2025-05-17T06:38:00+00:00
74,call_0248,flood,FLOOD_098,same_street_neighbors,voice,romanized_sinhala,Kalutara,Beruwala,HIGH,2025-05-17T06:38:00+00:00
75,sms_0240,flood,NOISE_flood_489,noise,sms,sinhala,Ratnapura,Balangoda,MEDIUM,2025-05-17T06:38:00+00:00
76,sms_0035,flood,FLOOD_008,adjacent_critical,sms,romanized_sinhala,Colombo,Wellampitiya,CRITICAL,
77,call_0055,flood,FLOOD_011,adjacent_critical,voice,tamil,Kandy,Katugastota,CRITICAL,2025-05-17T06:39:00+00:00
78,sms_0184,flood,FLOOD_090,same_street_neighbors,sms,romanized_sinhala,Colombo,Hanwella,CRITICAL,2025-05-17T06:39:00+00:00
79,sms_0043,flood,FLOOD_012,adjacent_critical,sms,romanized_sinhala,Kandy,Kandy_City,CRITICAL,2025-05-17T06:40:00+00:00
80,sms_0131,flood,FLOOD_055,third_party,sms,romanized_sinhala,Gampaha,Ja-Ela,MEDIUM,2025-05-17T06:40:00+00:00
81,call_0169,flood,FLOOD_060,cross_lingual_duplicate,voice,tamil,Gampaha,Gampaha_Town,CRITICAL,2025-05-17T06:40:00+00:00
82,sms_0183,flood,FLOOD_089,same_street_neighbors,sms,sinhala,Colombo,Hanwella,CRITICAL,2025-05-17T06:40:00+00:00
83,call_0011,flood,FLOOD_002,mass_report,voice,sinhala,Colombo,Kaduwela,CRITICAL,2025-05-17T06:41:00+00:00
84,call_0036,flood,FLOOD_006,mass_report,voice,romanized_tamil,Kalutara,Panadura,CRITICAL,2025-05-17T06:41:00+00:00
85,call_0060,flood,FLOOD_012,adjacent_critical,voice,tamil,Kandy,Kandy_City,CRITICAL,2025-05-17T06:41:00+00:00
86,call_0179,flood,FLOOD_064,cross_lingual_duplicate,voice,tamil,Ratnapura,Kuruwita,CRITICAL,2025-05-17T06:41:00+00:00
87,call_0182,flood,FLOOD_065,cross_lingual_duplicate,voice,sinhala,Gampaha,Wattala,MEDIUM,2025-05-17T06:41:00+00:00
88,call_0059,flood,FLOOD_012,adjacent_critical,voice,romanized_sinhala,Kandy,Kandy_City,CRITICAL,2025-05-17T06:42:00+00:00
89,sms_0159,flood,FLOOD_068,victim_address,sms,sinhala,Gampaha,Negombo,CRITICAL,2025-05-17T06:43:00+00:00
90,call_0004,flood,FLOOD_001,mass_report,voice,romanized_sinhala,Colombo,Kelaniya,CRITICAL,2025-05-17T06:44:00+00:00
91,call_0009,flood,FLOOD_002,mass_report,voice,tamil,Colombo,Kaduwela,CRITICAL,2025-05-17T06:44:00+00:00
92,call_0046,flood,FLOOD_009,adjacent_critical,voice,sinhala,Colombo,Grandpass,CRITICAL,2025-05-17T06:44:00+00:00
93,sms_0016,flood,FLOOD_003,mass_report,sms,romanized_tamil,Ratnapura,Ratnapura_City,CRITICAL,2025-05-17T06:45:00+00:00
94,call_0053,flood,FLOOD_011,adjacent_critical,voice,romanized_tamil,Kandy,Katugastota,CRITICAL,2025-05-17T06:45:00+00:00
95,sms_0129,flood,FLOOD_054,geographically_near,sms,romanized_sinhala,Gampaha,Kadana,HIGH,
96,sms_0151,flood,FLOOD_064,cross_lingual_duplicate,sms,sinhala,Ratnapura,Kuruwita,CRITICAL,
97,call_0037,flood,FLOOD_006,mass_report,voice,romanized_sinhala,Kalutara,Panadura,CRITICAL,2025-05-17T06:46:00+00:00
98,sms_0169,flood,FLOOD_074,location_unknown,sms,tamil,Kandy,Kadugannawa,HIGH,
99,call_0228,flood,FLOOD_090,same_street_neighbors,voice,tamil,Colombo,Hanwella,CRITICAL,2025-05-17T06:46:00+00:00
100,sms_0186,flood,FLOOD_092,same_street_neighbors,sms,tamil,Colombo,Wellampitiya,CRITICAL,
101,sms_0197,flood,FLOOD_098,same_street_neighbors,sms,romanized_sinhala,Kalutara,Beruwala,HIGH,
102,call_0010,flood,FLOOD_002,mass_report,voice,romanized_sinhala,Colombo,Kaduwela,CRITICAL,2025-05-17T06:47:00+00:00
103,sms_0007,flood,FLOOD_002,mass_report,sms,romanized_sinhala,Colombo,Kaduwela,CRITICAL,
104,sms_0030,flood,FLOOD_007,adjacent_critical,sms,romanized_tamil,Colombo,Kolonnawa,CRITICAL,
105,call_0058,flood,FLOOD_012,adjacent_critical,voice,sinhala,Kandy,Kandy_City,CRITICAL,2025-05-17T06:47:00+00:00
106,sms_0033,flood,FLOOD_008,adjacent_critical,sms,sinhala,Colombo,Wellampitiya,CRITICAL,2025-05-17T06:48:00+00:00
107,call_0154,flood,FLOOD_054,geographically_near,voice,romanized_sinhala,Gampaha,Kadana,HIGH,2025-05-17T06:48:00+00:00
108,sms_0167,flood,FLOOD_072,location_unknown,sms,sinhala,Colombo,Hanwella,CRITICAL,
109,call_0048,flood,FLOOD_009,adjacent_critical,voice,romanized_sinhala,Colombo,Grandpass,CRITICAL,2025-05-17T06:50:00+00:00
110,call_0054,flood,FLOOD_011,adjacent_critical,voice,sinhala,Kandy,Katugastota,CRITICAL,2025-05-17T06:50:00+00:00
111,sms_0128,flood,FLOOD_054,geographically_near,sms,tamil,Gampaha,Kadana,HIGH,2025-05-17T06:50:00+00:00
112,sms_0138,flood,FLOOD_057,third_party,sms,sinhala,Kalutara,Horana,HIGH,2025-05-17T06:50:00+00:00
113,call_0189,flood,FLOOD_068,victim_address,voice,sinhala,Gampaha,Negombo,CRITICAL,2025-05-17T06:50:00+00:00
114,sms_0008,flood,FLOOD_002,mass_report,sms,romanized_tamil,Colombo,Kaduwela,CRITICAL,
115,call_0047,flood,FLOOD_009,adjacent_critical,voice,romanized_sinhala,Colombo,Grandpass,CRITICAL,2025-05-17T06:51:00+00:00
116,call_0056,flood,FLOOD_011,adjacent_critical,voice,sinhala,Kandy,Katugastota,CRITICAL,2025-05-17T06:51:00+00:00
117,sms_0179,flood,FLOOD_084,victim_panic,sms,sinhala,Kandy,Kandy_City,CRITICAL,2025-05-17T06:51:00+00:00
118,call_0222,flood,FLOOD_089,same_street_neighbors,voice,tamil,Colombo,Hanwella,CRITICAL,2025-05-17T06:51:00+00:00
119,sms_0190,flood,FLOOD_094,same_street_neighbors,sms,sinhala,Ratnapura,Kuruwita,CRITICAL,2025-05-17T06:51:00+00:00
120,call_0051,flood,FLOOD_010,adjacent_critical,voice,romanized_sinhala,Colombo,Dematagoda,CRITICAL,2025-05-17T06:52:00+00:00
121,call_0161,flood,FLOOD_057,third_party,voice,romanized_sinhala,Kalutara,Horana,HIGH,2025-05-17T06:52:00+00:00
122,call_0180,flood,FLOOD_064,cross_lingual_duplicate,voice,romanized_tamil,Ratnapura,Kuruwita,CRITICAL,2025-05-17T06:52:00+00:00
123,call_0017,flood,FLOOD_003,mass_report,voice,romanized_sinhala,Ratnapura,Ratnapura_City,CRITICAL,2025-05-17T06:53:00+00:00
124,call_0042,flood,FLOOD_007,adjacent_critical,voice,sinhala,Colombo,Kolonnawa,CRITICAL,2025-05-17T06:53:00+00:00
125,call_0049,flood,FLOOD_009,adjacent_critical,voice,romanized_sinhala,Colombo,Grandpass,CRITICAL,2025-05-17T06:53:00+00:00
126,sms_0144,flood,FLOOD_061,cross_lingual_duplicate,sms,sinhala,Colombo,Battaramulla,HIGH,2025-05-17T06:53:00+00:00
127,call_0026,flood,FLOOD_005,mass_report,voice,romanized_sinhala,Kalutara,Kalutara,CRITICAL,2025-05-17T06:54:00+00:00
128,call_0157,flood,FLOOD_055,third_party,voice,romanized_tamil,Gampaha,Ja-Ela,MEDIUM,2025-05-17T06:54:00+00:00
129,sms_0154,flood,FLOOD_065,cross_lingual_duplicate,sms,romanized_tamil,Gampaha,Wattala,MEDIUM,2025-05-17T06:54:00+00:00
130,sms_0170,flood,FLOOD_074,location_unknown,sms,sinhala,Kandy,Kadugannawa,HIGH,
131,call_0231,flood,FLOOD_091,same_street_neighbors,voice,tamil,Colombo,Wellampitiya,HIGH,2025-05-17T06:54:00+00:00
132,call_0233,flood,FLOOD_092,same_street_neighbors,voice,sinhala,Colombo,Wellampitiya,CRITICAL,2025-05-17T06:54:00+00:00
133,sms_0009,flood,FLOOD_002,mass_report,sms,tamil,Colombo,Kaduwela,CRITICAL,2025-05-17T06:55:00+00:00
134,call_0081,flood,FLOOD_019,standard,voice,sinhala,Kandy,Peradeniya,HIGH,2025-05-17T06:55:00+00:00
135,call_0155,flood,FLOOD_054,geographically_near,voice,sinhala,Gampaha,Kadana,HIGH,2025-05-17T06:55:00+00:00
136,call_0005,flood,FLOOD_001,mass_report,voice,tamil,Colombo,Kelaniya,CRITICAL,2025-05-17T06:56:00+00:00
137,sms_0180,flood,FLOOD_085,victim_panic,sms,romanized_sinhala,Kalutara,Bandaragama,CRITICAL,2025-05-17T06:56:00+00:00
138,call_0247,flood,FLOOD_098,same_street_neighbors,voice,romanized_sinhala,Kalutara,Beruwala,HIGH,2025-05-17T06:56:00+00:00
139,sms_0233,flood,NOISE_flood_482,noise,sms,romanized_tamil,Kandy,Gampola,MEDIUM,2025-05-17T06:56:00+00:00
140,call_0239,flood,FLOOD_095,same_street_neighbors,voice,romanized_sinhala,Kandy,Katugastota,HIGH,2025-05-17T06:57:00+00:00
141,call_0008,flood,FLOOD_001,mass_report,voice,sinhala,Colombo,Kelaniya,CRITICAL,2025-05-17T06:58:00+00:00
142,sms_0041,flood,FLOOD_011,adjacent_critical,sms,romanized_tamil,Kandy,Katugastota,CRITICAL,
143,sms_0107,flood,FLOOD_045,long_gap,sms,sinhala,Kalutara,Beruwala,HIGH,2025-05-17T06:58:00+00:00
144,call_0172,flood,FLOOD_061,cross_lingual_duplicate,voice,tamil,Colombo,Battaramulla,HIGH,2025-05-17T06:58:00+00:00
145,call_0199,flood,FLOOD_074,location_unknown,voice,sinhala,Kandy,Kadugannawa,HIGH,2025-05-17T06:58:00+00:00
146,call_0216,flood,FLOOD_087,victim_panic,voice,sinhala,Gampaha,Negombo,CRITICAL,2025-05-17T06:58:00+00:00
147,call_0238,flood,FLOOD_094,same_street_neighbors,voice,tamil,Ratnapura,Kuruwita,CRITICAL,2025-05-17T06:58:00+00:00
148,call_0041,flood,FLOOD_007,adjacent_critical,voice,romanized_tamil,Colombo,Kolonnawa,CRITICAL,2025-05-17T06:59:00+00:00
149,sms_0036,flood,FLOOD_009,adjacent_critical,sms,romanized_sinhala,Colombo,Grandpass,CRITICAL,
150,sms_0136,flood,FLOOD_057,third_party,sms,tamil,Kalutara,Horana,HIGH,
151,sms_0178,flood,FLOOD_082,victim_panic,sms,romanized_sinhala,Gampaha,Biyagama,CRITICAL,2025-05-17T06:59:00+00:00
152,sms_0022,flood,FLOOD_005,mass_report,sms,tamil,Kalutara,Kalutara,CRITICAL,2025-05-17T07:00:00+00:00
153,sms_0031,flood,FLOOD_007,adjacent_critical,sms,tamil,Colombo,Kolonnawa,CRITICAL,2025-05-17T07:00:00+00:00
154,sms_0040,flood,FLOOD_011,adjacent_critical,sms,sinhala,Kandy,Katugastota,CRITICAL,
155,sms_0108,flood,FLOOD_045,long_gap,sms,sinhala,Kalutara,Beruwala,HIGH,2025-05-17T07:00:00+00:00
156,call_0181,flood,FLOOD_064,cross_lingual_duplicate,voice,romanized_tamil,Ratnapura,Kuruwita,CRITICAL,2025-05-17T07:00:00+00:00
157,call_0230,flood,FLOOD_091,same_street_neighbors,voice,romanized_tamil,Colombo,Wellampitiya,HIGH,2025-05-17T07:00:00+00:00
158,call_0027,flood,FLOOD_005,mass_report,voice,romanized_sinhala,Kalutara,Kalutara,CRITICAL,2025-05-17T07:01:00+00:00
159,call_0050,flood,FLOOD_010,adjacent_critical,voice,sinhala,Colombo,Dematagoda,CRITICAL,2025-05-17T07:01:00+00:00
160,sms_0051,flood,FLOOD_016,standard,sms,romanized_sinhala,Gampaha,Gampaha_Town,HIGH,
161,sms_0185,flood,FLOOD_091,same_street_neighbors,sms,tamil,Colombo,Wellampitiya,HIGH,
162,call_0014,flood,FLOOD_002,mass_report,voice,romanized_sinhala,Colombo,Kaduwela,CRITICAL,2025-05-17T07:02:00+00:00
163,call_0044,flood,FLOOD_008,adjacent_critical,voice,romanized_tamil,Colombo,Wellampitiya,CRITICAL,2025-05-17T07:02:00+00:00
164,call_0071,flood,FLOOD_016,standard,voice,romanized_sinhala,Gampaha,Gampaha_Town,HIGH,2025-05-17T07:02:00+00:00
165,call_0132,flood,FLOOD_045,long_gap,voice,sinhala,Kalutara,Beruwala,HIGH,2025-05-17T07:02:00+00:00
166,call_0246,flood,FLOOD_098,same_street_neighbors,voice,tamil,Kalutara,Beruwala,HIGH,2025-05-17T07:02:00+00:00
167,sms_0198,flood,FLOOD_098,same_street_neighbors,sms,tamil,Kalutara,Beruwala,HIGH,2025-05-17T07:02:00+00:00
168,call_0013,flood,FLOOD_002,mass_report,voice,sinhala,Colombo,Kaduwela,CRITICAL,2025-05-17T07:03:00+00:00
169,call_0232,flood,FLOOD_091,same_street_neighbors,voice,romanized_sinhala,Colombo,Wellampitiya,HIGH,2025-05-17T07:03:00+00:00
170,call_0200,flood,FLOOD_074,location_unknown,voice,romanized_sinhala,Kandy,Kadugannawa,HIGH,2025-05-17T07:04:00+00:00
171,call_0241,flood,FLOOD_095,same_street_neighbors,voice,romanized_sinhala,Kandy,Katugastota,HIGH,2025-05-17T07:04:00+00:00
172,call_0012,flood,FLOOD_002,mass_report,voice,tamil,Colombo,Kaduwela,CRITICAL,2025-05-17T07:05:00+00:00
173,sms_0015,flood,FLOOD_003,mass_report,sms,tamil,Ratnapura,Ratnapura_City,CRITICAL,2025-05-17T07:05:00+00:00
174,sms_0025,flood,FLOOD_005,mass_report,sms,romanized_tamil,Kalutara,Kalutara,CRITICAL,
175,call_0045,flood,FLOOD_008,adjacent_critical,voice,romanized_tamil,Colombo,Wellampitiya,CRITICAL,2025-05-17T07:06:00+00:00
176,call_0201,flood,FLOOD_074,location_unknown,voice,sinhala,Kandy,Kadugannawa,HIGH,2025-05-17T07:06:00+00:00
177,call_0214,flood,FLOOD_085,victim_panic,voice,sinhala,Kalutara,Bandaragama,CRITICAL,2025-05-17T07:06:00+00:00
178,sms_0014,flood,FLOOD_003,mass_report,sms,tamil,Ratnapura,Ratnapura_City,CRITICAL,2025-05-17T07:07:00+00:00
179,sms_0137,flood,FLOOD_057,third_party,sms,tamil,Kalutara,Horana,HIGH,2025-05-17T07:07:00+00:00
180,sms_0182,flood,FLOOD_086,victim_panic,sms,tamil,Colombo,Avissawella,HIGH,
181,sms_0003,flood,FLOOD_001,mass_report,sms,romanized_sinhala,Colombo,Kelaniya,CRITICAL,2025-05-17T07:08:00+00:00
182,call_0072,flood,FLOOD_016,standard,voice,tamil,Gampaha,Gampaha_Town,HIGH,2025-05-17T07:08:00+00:00
183,call_0240,flood,FLOOD_095,same_street_neighbors,voice,tamil,Kandy,Katugastota,HIGH,2025-05-17T07:08:00+00:00
184,call_0006,flood,FLOOD_001,mass_report,voice,sinhala,Colombo,Kelaniya,CRITICAL,2025-05-17T07:10:00+00:00
185,call_0028,flood,FLOOD_005,mass_report,voice,sinhala,Kalutara,Kalutara,CRITICAL,2025-05-17T07:10:00+00:00
186,sms_0045,flood,FLOOD_013,standard,sms,sinhala,Gampaha,Biyagama,HIGH,2025-05-17T07:10:00+00:00
187,sms_0054,flood,FLOOD_016,standard,sms,tamil,Gampaha,Gampaha_Town,HIGH,2025-05-17T07:10:00+00:00
188,call_0073,flood,FLOOD_016,standard,voice,tamil,Gampaha,Gampaha_Town,HIGH,2025-05-17T07:10:00+00:00
189,sms_0055,flood,FLOOD_016,standard,sms,romanized_sinhala,Gampaha,Gampaha_Town,HIGH,2025-05-17T07:10:00+00:00
190,sms_0061,flood,FLOOD_019,standard,sms,tamil,Kandy,Peradeniya,HIGH,
191,sms_0121,flood,FLOOD_051,geographically_near,sms,romanized_sinhala,Ratnapura,Pelmadulla,CRITICAL,
192,sms_0191,flood,FLOOD_095,same_street_neighbors,sms,romanized_sinhala,Kandy,Katugastota,HIGH,
193,sms_0037,flood,FLOOD_010,adjacent_critical,sms,sinhala,Colombo,Dematagoda,CRITICAL,2025-05-17T07:11:00+00:00
194,call_0083,flood,FLOOD_019,standard,voice,sinhala,Kandy,Peradeniya,HIGH,2025-05-17T07:11:00+00:00
195,sms_0053,flood,FLOOD_016,standard,sms,sinhala,Gampaha,Gampaha_Town,HIGH,2025-05-17T07:12:00+00:00
196,sms_0062,flood,FLOOD_019,standard,sms,romanized_tamil,Kandy,Peradeniya,HIGH,
197,call_0142,flood,FLOOD_048,geographically_near,voice,tamil,Colombo,Kelaniya,HIGH,2025-05-17T07:12:00+00:00
198,sms_0181,flood,FLOOD_086,victim_panic,sms,sinhala,Colombo,Avissawella,HIGH,2025-05-17T07:12:00+00:00
199,call_0173,flood,FLOOD_061,cross_lingual_duplicate,voice,romanized_tamil,Colombo,Battaramulla,HIGH,2025-05-17T07:13:00+00:00
200,sms_0162,flood,FLOOD_069,victim_address,sms,tamil,Colombo,Battaramulla,HIGH,2025-05-17T07:13:00+00:00
201,sms_0172,flood,FLOOD_075,location_unknown,sms,sinhala,Gampaha,Negombo,HIGH,
202,call_0215,flood,FLOOD_086,victim_panic,voice,romanized_sinhala,Colombo,Avissawella,HIGH,2025-05-17T07:13:00+00:00
203,call_0128,flood,FLOOD_042,conflicting_counts,voice,sinhala,Kalutara,Kalutara,HIGH,2025-05-17T07:14:00+00:00
204,sms_0118,flood,FLOOD_050,geographically_near,sms,romanized_sinhala,Colombo,Wellampitiya,HIGH,2025-05-17T07:14:00+00:00
